run,scheme,seed_imp,seed_model,seed_eval,ate_hat,cate_sd_test,cate_iqr_test,mi_ate_sd,mi_ate_iqr,mi_B,M_imputations,n_test
65,vary_imp,25327477,303,404,-0.04019814267715848,0.06004883428743845,0.08060883581454005,0.0,0.0,0.0,1,480
66,vary_imp,208719316,303,404,0.033159941098898,0.0354804276464385,0.0444685117469574,0.0,0.0,0.0,1,480
67,vary_imp,413180458,303,404,0.019538919802888927,0.06606656064232383,0.09570329519544195,0.0,0.0,0.0,1,480
68,vary_imp,2080950717,303,404,0.00021603951841674452,0.06278515613202823,0.08652304027586882,0.0,0.0,0.0,1,480
69,vary_imp,1486127662,303,404,0.03890664862801087,0.0572875710121896,0.07741778861399538,0.0,0.0,0.0,1,480
70,vary_imp,1893744462,303,404,-0.006475800103793673,0.052457615067908685,0.07735838808246978,0.0,0.0,0.0,1,480
71,vary_imp,430799659,303,404,0.060537409822806525,0.0649950490706723,0.09153421255963803,0.0,0.0,0.0,1,480
72,vary_imp,1548284816,303,404,-0.009644571679936138,0.04434177103278809,0.05903971742860403,0.0,0.0,0.0,1,480
73,vary_imp,793573184,303,404,-0.010162624777626151,0.048596986900065926,0.06908594237429548,0.0,0.0,0.0,1,480
74,vary_imp,1050150559,303,404,0.04677327667373257,0.056015418164404855,0.07767697114785663,0.0,0.0,0.0,1,480
75,vary_imp,8019224,303,404,0.13503332188933287,0.037542248374761465,0.05035336381328846,0.0,0.0,0.0,1,480
76,vary_imp,1326161204,303,404,0.022967470698596316,0.06958315778939274,0.09957136192740224,0.0,0.0,0.0,1,480
77,vary_imp,1782513925,303,404,0.013568978595936238,0.04890808787788432,0.06770084736809062,0.0,0.0,0.0,1,480
78,vary_imp,1425262066,303,404,0.06938508130402934,0.038007262235802496,0.05348474141008984,0.0,0.0,0.0,1,480
79,vary_imp,331702646,303,404,0.034457519296843195,0.05196864365872288,0.06944376195749961,0.0,0.0,0.0,1,480
80,vary_imp,1146331534,303,404,0.015323933333301835,0.05082540855011672,0.06997917986278115,0.0,0.0,0.0,1,480
81,vary_imp,574665130,303,404,0.02315598711686667,0.051822994905042635,0.07684452402686376,0.0,0.0,0.0,1,480
82,vary_imp,2072097652,303,404,-8.583711725227034e-05,0.04866083962625403,0.06706957984220709,0.0,0.0,0.0,1,480
83,vary_imp,1890498904,303,404,0.07091728048236945,0.04457954195298177,0.057121762752820035,0.0,0.0,0.0,1,480
84,vary_imp,399930128,303,404,0.06772759686803843,0.047348843380304415,0.06310600208232162,0.0,0.0,0.0,1,480
85,vary_imp,1094767427,303,404,0.016560986940389256,0.062163560978292516,0.09441557628003576,0.0,0.0,0.0,1,480
86,vary_imp,2018102210,303,404,0.040471316204993,0.043381961136162696,0.061016602454364494,0.0,0.0,0.0,1,480
87,vary_imp,1819241300,303,404,-0.016774996471948897,0.052688389698757575,0.07394841748805761,0.0,0.0,0.0,1,480
88,vary_imp,1520252680,303,404,0.036073631308582176,0.04648720730374134,0.06507630448175368,0.0,0.0,0.0,1,480
89,vary_imp,1373782154,303,404,0.02363446230947405,0.04006643829480765,0.05615602830041176,0.0,0.0,0.0,1,480
90,vary_imp,90439482,303,404,0.1191313566244944,0.04094216774180416,0.05956473253915737,0.0,0.0,0.0,1,480
91,vary_imp,1592940979,303,404,0.023117866613205175,0.043910722997244266,0.061221974395069496,0.0,0.0,0.0,1,480
92,vary_imp,1016862180,303,404,0.03987914993870725,0.04782177134173001,0.0611481483278738,0.0,0.0,0.0,1,480
93,vary_imp,196485316,303,404,0.03505217362294366,0.060129258878458554,0.07869707980197387,0.0,0.0,0.0,1,480
94,vary_imp,525027446,303,404,0.07041937281286728,0.04955789544156781,0.06821898345501566,0.0,0.0,0.0,1,480
95,vary_imp,1162097507,303,404,0.01213599384294312,0.04676020024596068,0.06207945422135422,0.0,0.0,0.0,1,480
96,vary_imp,1560763481,303,404,0.04557623926428989,0.04074770062124421,0.05382390921016975,0.0,0.0,0.0,1,480
97,vary_imp,1090432573,303,404,0.007708756982965416,0.042617429714758195,0.0585511906384721,0.0,0.0,0.0,1,480
98,vary_imp,1316294024,303,404,0.041933187736265774,0.047599631574408725,0.06655046073196863,0.0,0.0,0.0,1,480
99,vary_imp,1871187062,303,404,0.014266848622699087,0.042980294728975195,0.06386952934775908,0.0,0.0,0.0,1,480
0,vary_model,202,1473219434,404,0.04076948201123199,0.05654391436541994,0.08392042819523068,0.0,0.0,0.0,1,480
1,vary_model,202,775808659,404,0.02189554852699828,0.05099600386346243,0.07132352930288222,0.0,0.0,0.0,1,480
2,vary_model,202,1381360663,404,0.03589948902512794,0.05244676471039466,0.07144478053136602,0.0,0.0,0.0,1,480
3,vary_model,202,1284590502,404,0.07355543449280408,0.04800068534927406,0.0697429614197799,0.0,0.0,0.0,1,480
4,vary_model,202,232416244,404,0.047202916370078896,0.04616715839585092,0.06841664163797583,0.0,0.0,0.0,1,480
5,vary_model,202,127241933,404,0.08197986471138195,0.05056803767567545,0.06913834146936479,0.0,0.0,0.0,1,480
6,vary_model,202,1417675531,404,0.0374204627335771,0.04812326430135234,0.06858499023403604,0.0,0.0,0.0,1,480
7,vary_model,202,832432954,404,0.06179365397297163,0.05235319789184168,0.07470626949776285,0.0,0.0,0.0,1,480
